"friendly_exam_name","normalized_exam_name","cpt_codes","primary_cpt_code","modifier","modifier_26_wrvu","modality","body_region","contrast_status","cms_official_description","common_aliases","powerscribe_aliases","hospital_site_aliases","typical_combinations","active","created_at","updated_at"
"External Carotid Cath Addl","EXTERNAL CAROTID CATH ADDL","[""36227-26""]","36227","26","2.04","PROCEDURE","Abdomen","not_applicable","","[""External Carotid Cath Addl"",""EXTERNAL CAROTID CATH ADDL""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Intracranial Cath Superselective Addl","INTRACRANIAL CATH SUPERSELECTIVE ADDL","[""36228-26""]","36228","26","4.14","PROCEDURE","Abdomen","not_applicable","","[""Intracranial Cath Superselective Addl"",""INTRACRANIAL CATH SUPERSELECTIVE ADDL""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Carotid Stent Retrograde","CAROTID STENT RETROGRADE","[""37217-26""]","37217","26","19.87","PROCEDURE","Head/Neck","not_applicable","","[""Carotid Stent Retrograde"",""CAROTID STENT RETROGRADE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Carotid Stent Antegrade","CAROTID STENT ANTEGRADE","[""37218-26""]","37218","26","14.38","PROCEDURE","Head/Neck","not_applicable","","[""Carotid Stent Antegrade"",""CAROTID STENT ANTEGRADE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Image-Guided Peritoneal Catheter Insertion","IMAGE GUIDED PERITONEAL CATHETER INSERTION","[""49405-26""]","49405","26","3.78","PROCEDURE","Pelvis","not_applicable","","[""Image-Guided Peritoneal Catheter Insertion"",""IMAGE GUIDED PERITONEAL CATHETER INSERTION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Image-Guided Peritoneal Catheter Exchange","IMAGE GUIDED PERITONEAL CATHETER EXCHANGE","[""49406-26""]","49406","26","2.7","PROCEDURE","Pelvis","not_applicable","","[""Image-Guided Peritoneal Catheter Exchange"",""IMAGE GUIDED PERITONEAL CATHETER EXCHANGE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Image-Guided Peritoneal Catheter Removal via Snare","IMAGE GUIDED PERITONEAL CATHETER REMOVAL VIA SNARE","[""49407-26""]","49407","26","4.07","PROCEDURE","Pelvis","not_applicable","","[""Image-Guided Peritoneal Catheter Removal via Snare"",""IMAGE GUIDED PERITONEAL CATHETER REMOVAL VIA SNARE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Image-Guided Abdominal Drain Insert (Percutaneous)","IMAGE GUIDED ABDOMINAL DRAIN INSERT PERCUTANEOUS","[""49418-26""]","49418","26","3.42","PROCEDURE","Pelvis","not_applicable","","[""Image-Guided Abdominal Drain Insert (Percutaneous)"",""IMAGE GUIDED ABDOMINAL DRAIN INSERT PERCUTANEOUS""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"FNA Biopsy w/ US Guidance 1st Lesion","FNA BIOPSY W US GUIDANCE 1ST LESION","[""10005-26""]","10005","26","1.8","PROCEDURE","Pelvis","with","","[""FNA Biopsy w/ US Guidance 1st Lesion"",""FNA BIOPSY W US GUIDANCE 1ST LESION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"FNA Biopsy w/ US Guidance Each Addl","FNA BIOPSY W US GUIDANCE EACH ADDL","[""10006-26""]","10006","26","1","PROCEDURE","Pelvis","with","","[""FNA Biopsy w/ US Guidance Each Addl"",""FNA BIOPSY W US GUIDANCE EACH ADDL""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"FNA Biopsy w/ Fluoro Guidance 1st Lesion","FNA BIOPSY W FLUORO GUIDANCE 1ST LESION","[""10007-26""]","10007","26","1.8","PROCEDURE","Pelvis","with","","[""FNA Biopsy w/ Fluoro Guidance 1st Lesion"",""FNA BIOPSY W FLUORO GUIDANCE 1ST LESION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"FNA Biopsy w/ Fluoro Guidance Each Addl","FNA BIOPSY W FLUORO GUIDANCE EACH ADDL","[""10008-26""]","10008","26","1","PROCEDURE","Pelvis","with","","[""FNA Biopsy w/ Fluoro Guidance Each Addl"",""FNA BIOPSY W FLUORO GUIDANCE EACH ADDL""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"FNA Biopsy w/ CT Guidance 1st Lesion","FNA BIOPSY W CT GUIDANCE 1ST LESION","[""10009-26""]","10009","26","2.05","PROCEDURE","Pelvis","with","","[""FNA Biopsy w/ CT Guidance 1st Lesion"",""FNA BIOPSY W CT GUIDANCE 1ST LESION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"FNA Biopsy w/ CT Guidance Each Addl","FNA BIOPSY W CT GUIDANCE EACH ADDL","[""10010-26""]","10010","26","1.22","PROCEDURE","Pelvis","with","","[""FNA Biopsy w/ CT Guidance Each Addl"",""FNA BIOPSY W CT GUIDANCE EACH ADDL""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"FNA Biopsy w/ MRI Guidance 1st Lesion","FNA BIOPSY W MRI GUIDANCE 1ST LESION","[""10011-26""]","10011","26","2.44","PROCEDURE","Pelvis","with","","[""FNA Biopsy w/ MRI Guidance 1st Lesion"",""FNA BIOPSY W MRI GUIDANCE 1ST LESION""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
